Sun Jul 13 13:50:51 2025   Main - R1   R1(dhcp-config)#exit
Sun Jul 13 13:51:13 2025   Main - R1   R1(config)#ip dhcp excluded-address 192.168.20.1 192.168.20.10
Sun Jul 13 13:51:34 2025   Main - R1   R1(config)#ip dhcp pool VLAN20
Sun Jul 13 13:52:16 2025   Main - R1   R1(dhcp-config)#network 192.168.20.0 255.255.255.0
Sun Jul 13 13:52:42 2025   Main - R1   R1(dhcp-config)#default-router 192.168.20.254
Sun Jul 13 13:53:01 2025   Main - R1   R1(dhcp-config)#dns-server 1.1.1.1
Sun Jul 13 13:55:08 2025   Main - R1   R1(dhcp-config)#exit
Sun Jul 13 13:57:54 2025   Main - R1   R1(config)#ip access-list extended BLOCK_GUEST_TO_ADMIN
Sun Jul 13 13:58:42 2025   Main - R1   R1(config-ext-nacl)#deny ip 192.168.20.0 0.0.0.255 192.168.10.0 0.0.0.255 
Sun Jul 13 13:58:55 2025   Main - R1   R1(config-ext-nacl)#permit ip any any 
Sun Jul 13 13:59:20 2025   Main - R1   R1(config-ext-nacl)#interface g0/0/1.20
Sun Jul 13 13:59:50 2025   Main - R1   R1(config-subif)#ip access-group BLOCK_GUEST_TO_ADMIN in
Sun Jul 13 14:28:31 2025   Main - R1   R1>en
Sun Jul 13 14:28:34 2025   Main - R1   R1#conf t
Sun Jul 13 14:28:56 2025   Main - R1   R1(config)#logging buffered 4096 
Sun Jul 13 14:29:12 2025   Main - R1   R1(config)#logging console 
